Vurderingsfagkode;Vurderingsfagnavn;EnhetNavn;2022-23.Muntlig eksamen Snittkarakter;2022-23.Muntlig eksamen Antall elever;2022-23.Skriftlig eksamen Snittkarakter;2022-23.Skriftlig eksamen Antall elever;2022-23.Standpunkt Snittkarakter;2022-23.Standpunkt Antall elever;2023-24.Muntlig eksamen Snittkarakter;2023-24.Muntlig eksamen Antall elever;2023-24.Skriftlig eksamen Snittkarakter;2023-24.Skriftlig eksamen Antall elever;2023-24.Standpunkt Snittkarakter;2023-24.Standpunkt Antall elever;2024-25.Muntlig eksamen Snittkarakter;2024-25.Muntlig eksamen Antall elever;2024-25.Skriftlig eksamen Snittkarakter;2024-25.Skriftlig eksamen Antall elever;2024-25.Standpunkt Snittkarakter;2024-25.Standpunkt Antall elever
AKT2004;Administrasjon;Alle skoler;;;;;3,9;19;;;;;3,5;8;;;;;3,6;13
AKT2004;Administrasjon;Alle skoler;;;;;3,9;19;;;;;3,5;8;;;;;3,6;13
AKT2005;Kommunikasjon og samhandling;Alle skoler;;;;;3,8;20;;;;;3,5;8;;;;;3,6;13
AKT2005;Kommunikasjon og samhandling;Alle skoler;;;;;3,8;20;;;;;3,5;8;;;;;3,6;13
AKT2006;Yrkesliv i aktivitørfag;Alle skoler;;;;;3,7;19;;;;;3,5;8;;;;;3,8;13
AKT2006;Yrkesliv i aktivitørfag;Alle skoler;;;;;3,7;19;;;;;3,5;8;;;;;3,8;13
AKT2007;Tverrfaglig eksamen aktivitør;Alle skoler;4,1;18;;;;;4,1;8;;;;;3,7;12;;;;
AKT2007;Tverrfaglig eksamen aktivitør;Alle skoler;4,1;18;;;;;4,1;8;;;;;3,7;12;;;;
AMB2005;Ambulansemedisin;Alle skoler;;;;;4,7;405;;;;;4,7;409;;;;;4,6;408
AMB2005;Ambulansemedisin;Alle skoler;;;;;4,7;405;;;;;4,7;409;;;;;4,6;408
AMB2005;Ambulansemedisin;Alle skoler;;;;;4;32;;;;;4,3;33;;;;;4,1;32
AMB2005;Ambulansemedisin;Holtet videregående skole;;;;;4;32;;;;;4,3;33;;;;;;
AMB2005;Ambulansemedisin;Ulsrud videregående skole;;;;;;;;;;;;;;;;;4,1;32
AMB2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,8;390;;;;;4,8;394;;;;;4,8;392
AMB2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,8;390;;;;;4,8;394;;;;;4,8;392
AMB2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;16;;;;;4,8;18;;;;;4,4;16
AMB2006;Kommunikasjon og samhandling;Holtet videregående skole;;;;;4,3;16;;;;;4,8;18;;;;;;
AMB2006;Kommunikasjon og samhandling;Ulsrud videregående skole;;;;;;;;;;;;;;;;;4,4;16
AMB2007;Yrkesliv i ambulansefag;Alle skoler;;;;;4,7;392;;;;;4,8;409;;;;;4,7;392
AMB2007;Yrkesliv i ambulansefag;Alle skoler;;;;;4,7;392;;;;;4,8;409;;;;;4,7;392
AMB2007;Yrkesliv i ambulansefag;Alle skoler;;;;;4,1;16;;;;;4,4;16;;;;;4,3;16
AMB2007;Yrkesliv i ambulansefag;Holtet videregående skole;;;;;4,1;16;;;;;4,4;16;;;;;;
AMB2007;Yrkesliv i ambulansefag;Ulsrud videregående skole;;;;;;;;;;;;;;;;;4,3;16
AMB2008;Tverrfaglig eksamen ambulansefag;Alle skoler;4,4;382;;;;;4,6;405;;;;;4,4;388;;;;
AMB2008;Tverrfaglig eksamen ambulansefag;Alle skoler;4,4;382;;;;;4,6;405;;;;;4,4;388;;;;
AMB2008;Tverrfaglig eksamen ambulansefag;Alle skoler;4,3;16;;;;;4,8;16;;;;;4,2;15;;;;
AMB2008;Tverrfaglig eksamen ambulansefag;Holtet videregående skole;4,3;16;;;;;4,8;16;;;;;;;;;;
AMB2008;Tverrfaglig eksamen ambulansefag;Ulsrud videregående skole;;;;;;;;;;;;;4,2;15;;;;
APO3001;Helsefremmende arbeid;Alle skoler;;;;;;;;;;;;;;;;;*;*
APO3001;Helsefremmende arbeid;Alle skoler;;;;;;;;;;;;;;;;;*;*
APO3001;Helsefremmende arbeid;Alle skoler;;;;;;;;;;;;;;;;;*;*
APO3001;Helsefremmende arbeid;Ullern videregående skole;;;;;;;;;;;;;;;;;*;*
APO3004;Tverrfaglig eksamen, apotekteknikk;Alle skoler;3,2;11;;;;;;;;;;;;;;;;
APO3004;Tverrfaglig eksamen, apotekteknikk;Alle skoler;3,2;11;;;;;;;;;;;;;;;;
APO3005;Helseveiledning i apotek;Alle skoler;;;;;3,8;163;;;;;3,8;166;;;;;3,9;178
APO3005;Helseveiledning i apotek;Alle skoler;;;;;3,8;163;;;;;3,8;166;;;;;3,9;178
APO3005;Helseveiledning i apotek;Alle skoler;;;;;4,6;18;;;;;4;12;;;;;4,4;33
APO3005;Helseveiledning i apotek;Ullern videregående skole;;;;;4,6;18;;;;;4;12;;;;;4,4;33
APO3006;Kommunikasjon og samhandling;Alle skoler;;;;;3,9;164;;;;;3,9;166;;;;;4;177
APO3006;Kommunikasjon og samhandling;Alle skoler;;;;;3,9;164;;;;;3,9;166;;;;;4;177
APO3006;Kommunikasjon og samhandling;Alle skoler;;;;;4,5;18;;;;;3,9;12;;;;;4,5;32
APO3006;Kommunikasjon og samhandling;Ullern videregående skole;;;;;4,5;18;;;;;3,9;12;;;;;4,5;32
APO3007;Yrkesliv i apotekteknikkfaget;Alle skoler;;;;;4;161;;;;;4;165;;;;;4;177
APO3007;Yrkesliv i apotekteknikkfaget;Alle skoler;;;;;4;161;;;;;4;165;;;;;4;177
APO3007;Yrkesliv i apotekteknikkfaget;Alle skoler;;;;;4,9;18;;;;;4,1;12;;;;;4,7;32
APO3007;Yrkesliv i apotekteknikkfaget;Ullern videregående skole;;;;;4,9;18;;;;;4,1;12;;;;;4,7;32
APO3008;Tverrfaglig eksamen, apotekteknikk;Alle skoler;3,4;198;;;;;3,7;181;;;;;3,7;188;;;;
APO3008;Tverrfaglig eksamen, apotekteknikk;Alle skoler;3,4;198;;;;;3,7;181;;;;;3,7;188;;;;
APO3008;Tverrfaglig eksamen, apotekteknikk;Alle skoler;3,3;33;;;;;3,8;26;;;;;4,9;32;;;;
APO3008;Tverrfaglig eksamen, apotekteknikk;Oslo voksenopplæring Sinsen;2,9;16;;;;;4,1;14;;;;;;;;;;
APO3008;Tverrfaglig eksamen, apotekteknikk;Ullern videregående skole;3,6;17;;;;;3,4;12;;;;;4,9;32;;;;
AUT2004;Automatiseringssystemer;Alle skoler;;;;;4,2;598;;;;;4,2;656;;;;;4,2;665
AUT2004;Automatiseringssystemer;Alle skoler;;;;;4,2;598;;;;;4,2;656;;;;;4,2;665
AUT2004;Automatiseringssystemer;Alle skoler;;;;;4,2;32;;;;;3,5;29;;;;;4,3;31
AUT2004;Automatiseringssystemer;Kuben videregående skole;;;;;4,2;32;;;;;3,5;29;;;;;4,3;31
AUT2005;Elenergisystemer;Alle skoler;;;;;4,1;606;;;;;4,1;657;;;;;4,2;665
AUT2005;Elenergisystemer;Alle skoler;;;;;4,1;606;;;;;4,1;657;;;;;4,2;665
AUT2005;Elenergisystemer;Alle skoler;;;;;3,9;32;;;;;3;29;;;;;4,9;30
AUT2005;Elenergisystemer;Kuben videregående skole;;;;;3,9;32;;;;;3;29;;;;;4,9;30
AUT2006;Tverrfaglig eksamen i automatisering;Alle skoler;4,1;602;;;;;4,2;646;;;;;4,1;653;;;;
AUT2006;Tverrfaglig eksamen i automatisering;Alle skoler;4,1;602;;;;;4,2;646;;;;;4,1;653;;;;
AUT2006;Tverrfaglig eksamen i automatisering;Alle skoler;3,5;32;;;;;3,3;22;;;;;4;32;;;;
AUT2006;Tverrfaglig eksamen i automatisering;Kuben videregående skole;3,5;32;;;;;3,3;22;;;;;4;32;;;;
AUT3005;Automatiseringssystemer;Alle skoler;;;;;4,1;467;;;;;4;460;;;;;4,2;501
AUT3005;Automatiseringssystemer;Alle skoler;;;;;4,1;467;;;;;4;460;;;;;4,2;501
AUT3005;Automatiseringssystemer;Alle skoler;;;;;3,4;8;;;;;3,5;10;;;;;*;*
AUT3005;Automatiseringssystemer;Kuben videregående skole;;;;;3,4;8;;;;;3,5;10;;;;;*;*
AUT3006;Elenergisystemer;Alle skoler;;;;;4;468;;;;;4;457;;;;;4,2;503
AUT3006;Elenergisystemer;Alle skoler;;;;;4;468;;;;;4;457;;;;;4,2;503
AUT3006;Elenergisystemer;Alle skoler;;;;;4,3;8;;;;;3,9;10;;;;;*;*
AUT3006;Elenergisystemer;Kuben videregående skole;;;;;4,3;8;;;;;3,9;10;;;;;*;*
AUT3007;Mekanisk arbeid;Alle skoler;;;;;4,3;468;;;;;4,4;460;;;;;4,6;504
AUT3007;Mekanisk arbeid;Alle skoler;;;;;4,3;468;;;;;4,4;460;;;;;4,6;504
AUT3007;Mekanisk arbeid;Alle skoler;;;;;4,1;7;;;;;4,4;10;;;;;*;*
AUT3007;Mekanisk arbeid;Kuben videregående skole;;;;;4,1;7;;;;;4,4;10;;;;;*;*
AUT3103;Automatiseringsfaget, skriftlig;Alle skoler;;;2,9;453;;;;;2,4;460;;;;;2,7;503;;
AUT3103;Automatiseringsfaget, skriftlig;Alle skoler;;;2,9;453;;;;;2,4;460;;;;;2,7;503;;
AUT3103;Automatiseringsfaget, skriftlig;Alle skoler;;;2,1;8;;;;;3,2;10;;;;;*;*;;
AUT3103;Automatiseringsfaget, skriftlig;Kuben videregående skole;;;2,1;8;;;;;3,2;10;;;;;*;*;;
AVI3002;Luftfartøysystemer, part 66-13;Alle skoler;;;3,3;13;;;;;*;*;;;;;;;;
AVI3002;Luftfartøysystemer, part 66-13;Alle skoler;;;3,3;13;;;;;*;*;;;;;;;;
AVI3003;Luftfartøysystemer, part 66-14;Alle skoler;;;*;*;;;;;;;;;;;;;;
AVI3003;Luftfartøysystemer, part 66-14;Alle skoler;;;*;*;;;;;;;;;;;;;;
AVI3005;Teknisk vedlikehold 2, part 66-7B2;Alle skoler;;;3,6;24;;;;;;;;;;;;;;
AVI3005;Teknisk vedlikehold 2, part 66-7B2;Alle skoler;;;3,6;24;;;;;;;;;;;;;;
AVI3006;Teknisk vedlikehold 2, part 66-7B2E1;Alle skoler;;;4,1;8;;;;;;;;;;;;;;
AVI3006;Teknisk vedlikehold 2, part 66-7B2E1;Alle skoler;;;4,1;8;;;;;;;;;;;;;;
AVI3007;Teknisk vedlikehold 2, part 66-7B2E2;Alle skoler;;;4;8;;;;;;;;;;;;;;
AVI3007;Teknisk vedlikehold 2, part 66-7B2E2;Alle skoler;;;4;8;;;;;;;;;;;;;;
AVI3008;Teknisk vedlikehold 2, part 66-9;Alle skoler;;;4,3;7;;;;;;;;;;;;;;
AVI3008;Teknisk vedlikehold 2, part 66-9;Alle skoler;;;4,3;7;;;;;;;;;;;;;;
AVI3009;Teknisk vedlikehold 2, part 66-9E;Alle skoler;;;3,7;7;;;;;;;;;;;;;;
AVI3009;Teknisk vedlikehold 2, part 66-9E;Alle skoler;;;3,7;7;;;;;;;;;;;;;;
AVI3010;Teknisk vedlikehold 2, part 66-10;Alle skoler;;;4,2;13;;;;;;;;;;;;;;
AVI3010;Teknisk vedlikehold 2, part 66-10;Alle skoler;;;4,2;13;;;;;;;;;;;;;;
AVI3011;Teknisk vedlikehold 2, part 66-10E;Alle skoler;;;3,8;14;;;;;;;;;;;;;;
AVI3011;Teknisk vedlikehold 2, part 66-10E;Alle skoler;;;3,8;14;;;;;;;;;;;;;;
AVI3012;Luftfartøysystemer;Alle skoler;;;;;4,5;34;;;;;4,3;37;;;;;4,2;39
AVI3012;Luftfartøysystemer;Alle skoler;;;;;4,5;34;;;;;4,3;37;;;;;4,2;39
AVI3013;Luftfartøysystemer, part 66-13 (B2);Alle skoler;;;3,6;43;;;;;3,7;55;;;;;3,6;64;;
AVI3013;Luftfartøysystemer, part 66-13 (B2);Alle skoler;;;3,6;43;;;;;3,7;55;;;;;3,6;64;;
AVI3014;Luftfartøysystemer, part 66-14 (B2);Alle skoler;;;4,1;44;;;;;4,3;49;;;;;4,2;60;;
AVI3014;Luftfartøysystemer, part 66-14 (B2);Alle skoler;;;4,1;44;;;;;4,3;49;;;;;4,2;60;;
AVI3015;Vedlikeholdsteknikk;Alle skoler;;;;;4,8;35;;;;;4,5;38;;;;;4,6;39
AVI3015;Vedlikeholdsteknikk;Alle skoler;;;;;4,8;35;;;;;4,5;38;;;;;4,6;39
AVI3016;Vedlikeholdsteknikk, part 66-7A(B2);Alle skoler;;;3,4;38;;;;;3,6;62;;;;;4;44;;
AVI3016;Vedlikeholdsteknikk, part 66-7A(B2);Alle skoler;;;3,4;38;;;;;3,6;62;;;;;4;44;;
AVI3017;Vedlikeholdsteknikk, part 66-7A Essay 1(B2);Alle skoler;;;3,9;34;;;;;3,5;50;;;;;4;59;;
AVI3017;Vedlikeholdsteknikk, part 66-7A Essay 1(B2);Alle skoler;;;3,9;34;;;;;3,5;50;;;;;4;59;;
AVI3018;Vedlikeholdsteknikk, part 66-7A Essay 2(B2);Alle skoler;;;3,7;34;;;;;4;50;;;;;3,8;59;;
AVI3018;Vedlikeholdsteknikk, part 66-7A Essay 2(B2);Alle skoler;;;3,7;34;;;;;4;50;;;;;3,8;59;;
AVI3019;Flysikkerhet;Alle skoler;;;;;4,5;35;;;;;4,7;37;;;;;4,8;39
AVI3019;Flysikkerhet;Alle skoler;;;;;4,5;35;;;;;4,7;37;;;;;4,8;39
AVI3020;Flysikkerhet, part 66-9A(B1B2);Alle skoler;;;4,7;35;;;;;4,9;44;;;;;4,9;39;;
AVI3020;Flysikkerhet, part 66-9A(B1B2);Alle skoler;;;4,7;35;;;;;4,9;44;;;;;4,9;39;;
AVI3021;Flysikkerhet, part 66-9A Essay(B1B2);Alle skoler;;;4,3;34;;;;;4,3;47;;;;;;;;
AVI3021;Flysikkerhet, part 66-9A Essay(B1B2);Alle skoler;;;4,3;34;;;;;4,3;47;;;;;;;;
AVI3022;Flysikkerhet, part 66-10(B1B2);Alle skoler;;;4;30;;;;;4,3;48;;;;;3,9;69;;
AVI3022;Flysikkerhet, part 66-10(B1B2);Alle skoler;;;4;30;;;;;4,3;48;;;;;3,9;69;;
AVI3023;Flysikkerhet, part 66-10 Essay(B1B2);Alle skoler;;;3,3;29;;;;;3,9;46;;;;;;;;
AVI3023;Flysikkerhet, part 66-10 Essay(B1B2);Alle skoler;;;3,3;29;;;;;3,9;46;;;;;;;;
BAK2001;Råvare, produksjon og kvalitet;Alle skoler;;;;;4,1;164;;;;;4,3;166;;;;;4,3;147
BAK2001;Råvare, produksjon og kvalitet;Alle skoler;;;;;4,1;164;;;;;4,3;166;;;;;4,3;147
BAK2001;Råvare, produksjon og kvalitet;Alle skoler;;;;;4,3;8;;;;;4;12;;;;;4,2;13
BAK2001;Råvare, produksjon og kvalitet;Etterstad videregående skole;;;;;4,3;8;;;;;4;12;;;;;4,2;13
BAK2002;Bransje og arbeidsliv;Alle skoler;;;;;4;164;;;;;4,1;165;;;;;4,1;149
BAK2002;Bransje og arbeidsliv;Alle skoler;;;;;4;164;;;;;4,1;165;;;;;4,1;149
BAK2002;Bransje og arbeidsliv;Alle skoler;;;;;3,9;8;;;;;3,9;12;;;;;3,4;13
BAK2002;Bransje og arbeidsliv;Etterstad videregående skole;;;;;3,9;8;;;;;3,9;12;;;;;3,4;13
BAK2003;Tverrfaglig eksamen baker og konditor;Alle skoler;4,3;160;;;;;4,3;163;;;;;4,4;147;;;;
BAK2003;Tverrfaglig eksamen baker og konditor;Alle skoler;4,3;160;;;;;4,3;163;;;;;4,4;147;;;;
BAK2003;Tverrfaglig eksamen baker og konditor;Alle skoler;3,5;8;;;;;4,3;12;;;;;4,1;13;;;;
BAK2003;Tverrfaglig eksamen baker og konditor;Etterstad videregående skole;3,5;8;;;;;4,3;12;;;;;4,1;13;;;;
BUA2005;Pedagogisk arbeid;Alle skoler;;;;;4,4;2 473;;;;;4,3;2 373;;;;;4,4;2 325
BUA2005;Pedagogisk arbeid;Alle skoler;;;;;4,4;2 473;;;;;4,3;2 373;;;;;4,4;2 325
BUA2005;Pedagogisk arbeid;Alle skoler;;;;;4,2;168;;;;;4;175;;;;;4,2;160
BUA2005;Pedagogisk arbeid;Holtet videregående skole;;;;;4,3;24;;;;;3,7;23;;;;;;
BUA2005;Pedagogisk arbeid;Kuben videregående skole;;;;;3,9;32;;;;;4,1;27;;;;;4;41
BUA2005;Pedagogisk arbeid;Nydalen videregående skole;;;;;4,9;34;;;;;4,6;34;;;;;4,9;37
BUA2005;Pedagogisk arbeid;Oslo voksenopplæring Helsfyr;;;;;;;;;;;;;;;;;*;*
BUA2005;Pedagogisk arbeid;Stovner videregående skole;;;;;3,7;24;;;;;3,4;32;;;;;*;*
BUA2005;Pedagogisk arbeid;Ulsrud videregående skole;;;;;4,2;54;;;;;3,9;59;;;;;4;54
BUA2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;2 462;;;;;4,3;2 401;;;;;4,4;2 305
BUA2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;2 462;;;;;4,3;2 401;;;;;4,4;2 305
BUA2006;Kommunikasjon og samhandling;Alle skoler;;;;;4,3;167;;;;;4;173;;;;;4,1;161
BUA2006;Kommunikasjon og samhandling;Holtet videregående skole;;;;;4,4;23;;;;;3,9;22;;;;;;
BUA2006;Kommunikasjon og samhandling;Kuben videregående skole;;;;;4;32;;;;;4,2;27;;;;;3,9;41
BUA2006;Kommunikasjon og samhandling;Nydalen videregående skole;;;;;4,9;34;;;;;4,7;34;;;;;4,8;37
